0119_attend,0119_quiz_class,0123_quiz1,0126_attend,0127_quiz2,0201_homework0,0201_quiz3,0202_attend,0202_millionaire,0203_quiz5,0207_attend,0209_attend,0209_quiz6,0213_homework1,0214_attend,0216_attend,0301_quiz7,0304_exam1,0307_attend,0315_homework2,0327_quiz8,0330_attend,0402_homework3,0404_exam2,0406_attend,0411_attend,0413_attend,0413_quiz_class,0415_homework4,0430_homework5,0509_final,0510_extra,0510_group,total_sum,total_weighted
0,0.0,,1.0,,100,,1,7.5,,0.0,1,,0,0.0,1.0,,68.0,0.0,0,,0.0,0,64,0.0,0.0,0,0.0,0,0,0,0.0,0.0,306.5,25.230000000000004
0,0.0,98.0,1.0,94.0,100,100.0,1,5.7,100.0,1.0,1,78.0,100,1.0,1.0,,33.0,1.0,100,,1.0,60,26,1.0,0.0,1,67.0,100,100,50,0.0,40.0,1287.7,58.8
1,4.0,96.0,1.0,98.0,100,96.0,1,7.8,94.0,0.0,1,90.0,0,0.0,1.0,88.0,57.0,0.0,10,94.0,0.0,0,85,0.0,0.0,1,77.0,90,100,86,0.0,80.0,1440.8,70.8
0,0.0,96.0,0.0,96.0,100,98.0,0,0.0,94.0,0.0,1,,120,0.0,0.0,,61.0,0.0,100,,0.0,110,85,0.0,0.0,1,50.0,100,100,76,1.0,40.0,1413.0,81.53
1,1.0,88.0,1.0,90.0,100,90.0,1,3.5,82.0,1.0,1,92.0,0,1.0,1.0,,55.0,1.0,50,,0.0,10,84,0.0,1.0,1,117.0,100,90,72,0.0,100.0,1323.5,70.54
1,3.0,96.0,1.0,92.0,100,96.0,0,0.0,98.0,1.0,1,98.0,0,1.0,1.0,94.0,28.0,0.0,0,96.0,0.0,0,47,0.0,0.0,1,62.0,100,80,49,0.0,100.0,1396.0,51.74999999999999
0,0.0,82.0,1.0,100.0,100,96.0,1,5.9,96.0,1.0,1,92.0,100,1.0,1.0,94.0,32.0,1.0,70,92.0,1.0,60,49,1.0,1.0,1,98.0,100,100,68,0.0,40.0,1633.9,65.53
1,4.0,,0.0,,100,,1,4.0,,1.0,1,,0,0.0,0.0,,42.0,0.0,0,,0.0,0,64,0.0,1.0,1,61.0,10,0,50,0.0,80.0,483.0,43.8
1,5.0,82.0,1.0,,100,,1,8.2,,0.0,1,,10,0.0,1.0,,53.0,0.0,100,,0.0,80,88,0.0,0.0,1,64.0,90,90,93,0.0,80.0,1034.2,80.07
1,1.0,98.0,1.0,94.0,100,92.0,1,3.6,92.0,1.0,1,86.0,10,1.0,1.0,96.0,61.0,0.0,100,90.0,1.0,100,73,1.0,1.0,1,99.0,100,100,65,0.0,80.0,1711.6,74.61
1,3.0,82.0,1.0,,100,,1,5.0,,1.0,1,,60,1.0,1.0,,48.5,1.0,10,,1.0,50,68,1.0,0.0,1,72.0,100,60,46,0.0,40.0,821.5,56.21000000000001
1,5.0,,1.0,,100,,1,6.4,,0.0,1,,100,0.0,0.0,,49.0,0.0,90,,1.0,10,89,1.0,1.0,1,97.0,100,80,82,0.0,100.0,1003.4,78.82000000000001
1,5.0,,1.0,,80,,1,9.4,,1.0,1,,110,1.0,1.0,,82.5,1.0,60,,0.0,90,100,0.0,0.0,1,113.0,90,50,94,10.0,100.0,1101.9,89.46
1,3.0,78.0,0.0,96.0,100,90.0,1,8.3,92.0,0.0,1,94.0,0,0.0,0.0,,48.5,0.0,0,,0.0,0,70,0.0,0.0,1,88.0,100,80,49,1.0,80.0,1148.8,56.52
0,0.0,92.0,1.0,92.0,90,96.0,0,0.0,98.0,0.0,1,98.0,0,1.0,0.0,100.0,42.0,0.0,50,96.0,0.0,0,67,0.0,0.0,1,77.0,100,100,83,0.0,40.0,1485.0,63.970000000000006
0,0.0,92.0,1.0,94.0,100,98.0,1,5.0,98.0,1.0,1,94.0,100,1.0,1.0,100.0,53.0,1.0,100,94.0,1.0,90,56,1.0,1.0,1,105.0,100,100,78,1.0,100.0,1816.0,79.9
1,3.0,86.0,1.0,96.0,8,86.0,1,4.6,94.0,1.0,1,98.0,0,0.0,1.0,92.0,48.0,1.0,0,94.0,0.0,0,56,0.0,1.0,1,44.0,10,0,58,8.0,0.0,1040.6,37.86
1,3.0,88.0,0.0,78.0,100,84.0,0,0.0,86.0,0.0,1,78.0,10,0.0,1.0,88.0,73.0,0.0,20,,1.0,10,91,0.0,0.0,1,49.0,100,80,93,0.0,60.0,1285.0,74.08
1,3.0,,1.0,,0,,1,4.9,,0.0,1,,0,1.0,0.0,,65.0,0.0,0,,0.0,0,52,0.0,0.0,0,0.0,0,0,0,0.0,40.0,219.9,24.32
0,0.0,82.0,1.0,,0,,1,4.4,,0.0,1,,0,0.0,1.0,,43.0,0.0,10,,0.0,0,65,0.0,1.0,0,0.0,10,0,0,0.0,20.0,304.4,21.51
0,0.0,86.0,1.0,,100,,1,6.3,,0.0,1,,120,0.0,0.0,,69.0,0.0,100,,0.0,0,29,0.0,0.0,1,60.0,0,90,74,0.0,60.0,825.3,64.45
1,2.0,80.0,0.0,88.0,100,94.0,0,0.0,96.0,0.0,1,96.0,0,0.0,0.0,,45.0,1.0,10,,0.0,0,78,0.0,1.0,1,33.0,100,80,47,5.0,100.0,1136.0,58.07
