0119_attend,0119_quiz_class,0123_quiz1,0126_attend,0127_quiz2,0201_homework0,0201_quiz3,0202_attend,0202_millionaire,0203_quiz5,0207_attend,0209_attend,0209_quiz6,0213_homework1,0214_attend,0216_attend,0301_quiz7,0304_exam1,0307_attend,0315_homework2,0327_quiz8,0330_attend,0402_homework3,0404_exam2,0406_attend,0411_attend,0413_attend,0413_quiz_class,0415_homework4,0430_homework5,0509_final_exam,0510_extra,0510_group,total_sum,total_weighted
0,0,,1,,100,,1,7.5,,0,1,,0,0,1,,68,0,0,,0,0,64,0,0,0,0,0,0,0,0,0,306.5,25.23
0,0,98,1,94,100,100,1,5.7,100,1,1,78,100,1,1,,33,1,100,,1,60,26,1,0,1,67,100,100,50,0,40,1287.7,58.8
1,4,96,1,98,100,96,1,7.8,94,0,1,90,0,0,1,88,57,0,10,94,0,0,85,0,0,1,77,90,100,86,0,80,1440.8,70.8
0,0,96,0,96,100,98,0,0,94,0,1,,120,0,0,,61,0,100,,0,110,85,0,0,1,50,100,100,76,1,40,1413,81.53
1,1,88,1,90,100,90,1,3.5,82,1,1,92,0,1,1,,55,1,50,,0,10,84,0,1,1,117,100,90,72,0,100,1323.5,70.54
1,3,96,1,92,100,96,0,0,98,1,1,98,0,1,1,94,28,0,0,96,0,0,47,0,0,1,62,100,80,49,0,100,1396,51.75
0,0,82,1,100,100,96,1,5.9,96,1,1,92,100,1,1,94,32,1,70,92,1,60,49,1,1,1,98,100,100,68,0,40,1633.9,65.53
1,4,,0,,100,,1,4,,1,1,,0,0,0,,42,0,0,,0,0,64,0,1,1,61,10,0,50,0,80,483,43.8
1,5,82,1,,100,,1,8.2,,0,1,,10,0,1,,53,0,100,,0,80,88,0,0,1,64,90,90,93,0,80,1034.2,80.07
1,1,98,1,94,100,92,1,3.6,92,1,1,86,10,1,1,96,61,0,100,90,1,100,73,1,1,1,99,100,100,65,0,80,1711.6,74.61
1,3,82,1,,100,,1,5,,1,1,,60,1,1,,48.5,1,10,,1,50,68,1,0,1,72,100,60,46,0,40,821.5,56.21
1,5,,1,,100,,1,6.4,,0,1,,100,0,0,,49,0,90,,1,10,89,1,1,1,97,100,80,82,0,100,1003.4,78.82
1,5,,1,,80,,1,9.4,,1,1,,110,1,1,,82.5,1,60,,0,90,100,0,0,1,113,90,50,94,10,100,1101.9,89.46
1,3,78,0,96,100,90,1,8.3,92,0,1,94,0,0,0,,48.5,0,0,,0,0,70,0,0,1,88,100,80,49,1,80,1148.8,56.52
0,0,92,1,92,90,96,0,0,98,0,1,98,0,1,0,100,42,0,50,96,0,0,67,0,0,1,77,100,100,83,0,40,1485,63.97
0,0,92,1,94,100,98,1,5,98,1,1,94,100,1,1,100,53,1,100,94,1,90,56,1,1,1,105,100,100,78,1,100,1816,79.9
1,3,86,1,96,8,86,1,4.6,94,1,1,98,0,0,1,92,48,1,0,94,0,0,56,0,1,1,44,10,0,58,8,0,1040.6,37.86
1,3,88,0,78,100,84,0,0,86,0,1,78,10,0,1,88,73,0,20,,1,10,91,0,0,1,49,100,80,93,0,60,1285,74.08
1,3,,1,,0,,1,4.9,,0,1,,0,1,0,,65,0,0,,0,0,52,0,0,0,0,0,0,0,0,40,219.9,24.32
0,0,82,1,,0,,1,4.4,,0,1,,0,0,1,,43,0,10,,0,0,65,0,1,0,0,10,0,0,0,20,304.4,21.51
0,0,86,1,,100,,1,6.3,,0,1,,120,0,0,,69,0,100,,0,0,29,0,0,1,60,0,90,74,0,60,825.3,64.45
1,2,80,0,88,100,94,0,0,96,0,1,96,0,0,0,,45,1,10,,0,0,78,0,1,1,33,100,80,47,5,100,1136,58.07
1,4,88,0,26,100,,1,3.5,,0,1,,10,0,0,,47,0,0,,1,0,36,0,0,1,72,10,0,40,0,40,514.5,36.78
0,0,86,1,100,100,84,0,0,84,1,1,92,90,1,1,94,33,1,100,100,1,60,48,1,1,1,25,100,100,85,7,100,1640,74.57
1,4,96,1,100,100,84,1,8.5,100,0,1,100,110,0,1,,85,0,90,,0,50,90,0,0,1,82,100,100,88,0,80,1648.5,88.82
0,0,92,0,86,100,64,1,3.6,78,0,1,96,0,0,0,86,12,0,10,,0,0,2,0,0,0,0,0,0,0,0,20,652.6,15.31
0,0,98,1,96,100,96,1,9.2,96,1,1,96,130,1,0,92,74,0,100,94,0,80,93,1,0,1,106,100,100,90,52,100,1997.2,92.6
1,3,,0,,0,,1,4.9,,0,1,,0,0,0,,37,0,0,,0,0,57,0,1,1,92,0,100,47,0,20,420.9,38.05
0,0,,1,,100,,1,9.4,,0,1,,0,0,0,,68,0,10,,1,0,61,0,0,1,85,0,0,0,0,40,437.4,33.27
1,5,86,0,,100,88,0,0,,0,1,92,10,0,0,96,69.5,0,40,90,0,20,89,0,0,1,78,90,60,64,0,60,1321.5,66.78
1,3,90,1,86,100,,1,6.4,,1,1,,90,0,0,,58,0,100,,0,60,72,0,1,0,0,100,100,62,0,80,1084.4,74.95
1,4,90,1,84,100,90,1,7.4,88,1,1,,10,1,1,,58,1,50,86,1,0,86,1,1,1,21,100,80,70,0,80,1202.4,68.64
0,0,100,0,98,0,96,0,0,96,0,1,98,0,0,0,,57,0,0,,0,10,5,0,0,0,0,0,0,45,0,40,651,31.37
1,1,92,1,72,100,,1,2.8,80,1,1,80,0,1,1,,51,0,70,,1,30,69,0,0,1,39,90,50,68,0,100,1070.8,64.67
0,0,88,1,96,100,84,0,0,84,1,1,90,90,1,1,98,41.5,1,100,90,1,60,67,1,1,0,0,100,100,74,0,100,1633.5,76.61
0,0,94,1,,100,,1,6.7,,0,1,,80,1,1,,90,0,100,,0,100,89,1,1,1,95,100,100,95,1,100,1247.7,93.46
1,3,,1,,100,,1,0.1,,0,1,,0,0,0,,40,1,0,,0,60,63,1,0,1,48,100,50,89,0,100,720.1,63.76
0,0,,0,,0,,1,6.9,,1,1,,0,1,0,,50,0,0,,0,0,53,0,0,1,39,0,0,0,0,20,224.9,21.79
1,3,98,1,96,100,94,1,5.3,96,0,1,96,80,0,1,98,54,0,50,100,0,60,52,1,0,1,36,70,90,73,0,80,1579.3,69.81
1,4,84,1,84,80,72,0,0,86,1,1,72,50,0,0,78,53,0,90,78,0,10,46,1,0,1,34,100,100,62,0,100,1409,64.77
1,1,86,1,88,100,,1,4.2,,1,1,,0,1,1,,12,0,70,,0,60,55,1,0,1,79,0,100,19,0,60.4,796.6,41.66
1,4,92,1,94,100,96,1,6.3,98,1,1,94,10,1,1,96,44.5,1,10,100,1,10,93,1,1,1,63,80,100,89,5,96,1583.8,72.73
0,0,98,1,98,100,98,1,6.7,86,0,1,48,100,0,0,92,57,0,0,100,0,60,75,0,0,1,85,100,100,63,2,80,1623.7,71.07
0,0,88,1,90,100,94,1,6.7,,0,1,,0,0,0,,68,0,0,,0,0,73,0,0,1,70,100,0,73,0,60,897.7,59.97
1,4,,1,,100,,0,0,,1,1,,100,1,1,,79.5,1,100,,0,80,100,0,0,1,107,100,100,96,0,100,1177.5,94.09
0,0,92,1,92,80,78,1,6.2,94,0,1,94,0,0,0,86,43.5,0,90,78,0,0,76,0,0,1,99,20,10,65,0,80,1333.7,56.55
0,0,96,0,96,100,94,1,5.6,84,0,1,86,110,0,0,94,55.5,0,100,96,1,110,64,0,0,1,97,100,100,93,2,80,1827.1,85
1,4,94,1,,80,90,1,9.1,90,1,1,92,80,0,1,,84,0,100,90,1,10,100,1,0,1,98,100,90,90,1,80,1489.1,85.8
1,5,100,1,100,100,98,1,8.8,98,1,1,98,140,1,1,98,95,0,100,100,0,90,100,0,1,1,113,100,80,95,16,100,2040.8,98.36
0,0,,1,10,0,,1,7.1,,0,0,,0,0,1,,65,0,0,,0,0,68,0,0,0,0,0,0,61,0,60,359.1,40.71
